id,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average,Hardness
1858,237,160.284,20.5,4.172413793,47.31542253,9.206166578,2.168275862,1.935172414,1.164137931,0.483284138,2.53683,4
1859,55,9.577996,11,4,22.111243,10.63215,2.375,1.625,1.39,0.477015,1.50633,4
1860,60,6.093996,12,4.4,25.023328,10.75912,2.572,1.796,1.028,0.491714,1.11572,5.5
1861,202,22.81264,20.2,5.6,47.236432,11.719925,2.352,1.908,1.184,0.460005,3.88539,3.8
1862,92,0.7767992,9.2,4.8,18.439538,11.82448,2.805,1.656,0.848,0.499196,0.43908,6
1863,40,2.3341635,6.666666667,4,13.01612833,12.70046667,2.77,1.476666667,0.616666667,0.663796667,0.62985,5
1864,790,105.514,23.5,5.3,50.1811,9.273855,2.279,1.9072,1.2145,0.467304,5.07766,2.8
1865,92,7.900992,9.2,4.8,18.60817185,11.33044,2.805,1.698,0.866,0.49111,0.99502,6
1866,226,23.3814855,11.3,4.75,24.5691257,10.97477813,2.54,1.72,0.768,0.485063,1.47705,5.8
1867,118,14.485992,11.6,4,24.5691257,10.73364,2.694,1.702,0.928,0.490932,1.02048,6
1868,38,4.542664,12.66666667,4.666666667,24.808518,11.35476667,2.806666667,1.806666667,0.92,0.486506667,1.05428,5.8
1869,468,39.048299,11.6,4.8,24.085483,10.73364,2.66,1.742,0.96,0.492736,1.0066,5.5
1870,790,105.514,41,4.8,93.78445,9.273855,2.279,1.907,1.2145,0.469015,5.56317,2.8
1871,55,9.143996,11,4.8,22.9889468,11.90972,2.884,1.662,0.792,0.490932,1.03248,3.8
1872,93,7.442664,7.75,5.333333333,15.5703585,11.62551667,2.24,1.550833333,0.616666667,0.466388333,0.26567,5
1873,208,16.61932,10.5862069,4.172413793,20.17023083,11.96199412,2.801724138,1.716119403,0.9,0.494626338,0.62515,7
1874,136,10.082327,11.20833333,4.333333333,22.71843417,10.95855833,2.619166667,1.765833333,0.97,0.499074167,0.77105,5.5
1875,84,12.421,42,5,98.3407975,9.1985,2.03,1.955,1.3,0.429675,3.89105,3.5
1876,131,24.529328,21.83333333,4.666666667,50.1315,11.65406667,2.848333333,1.723333333,0.866666667,0.478178333,1.49127,6
1877,120,12.417996,12.1,4.8,24.789618,11.16682,2.829,1.682,0.848,0.491678,1.61291,5.5
1878,46,9.133,14.8,4.4,31.5746356,10.13144,2.684,1.732,0.98,0.482036,0.45491,6.3
1879,110,23,36.66666667,2.666666667,82.59846667,8.504133333,2.14,2.006666667,1.253333333,0.456803333,7.98667,2.3
1880,36,3.55,18,4,36.0685,8.2366,1.79,2.055,1.39,0.499,0.45758,4
1881,90,7.43274775,10,4.125,21.985986,11.6604875,2.788125,1.72625,0.945,0.4840125,0.93456,5.8
1882,322,38.214,64.4,4.8,160.15216,8.89726,2.352,2.04,1.104,0.469715,7.7439,2.8
1883,46,14.485992,18,4.6,39.568056,12.0863,2.868,1.652,0.864,0.47888,1.46035,3.8
1884,144,10.507072,14,4.8,30.341818,11.5619,2.708,1.74,0.944,0.48502,1.66028,6
1885,156,25.021992,12.44444444,4.444444444,25.75624222,11.45875556,2.852222222,1.724444444,0.911111111,0.483142222,1.61291,6
1886,220,27.10599,24.5,4.8,57.09384,11.20276,2.828,1.747,0.92,0.474714,3.3354,2.5
1887,138,10.207996,12.2,4.8,24.085483,12.04083,2.766,1.542,0.71,0.59004,1.61291,6
1888,531,32.91,9.5,4.5,20.3920334,11.91369,2.5896,1.65,0.813333333,0.496905833,0.71086,5.5
1889,94,17.92724225,15.66666667,4,33.33735333,11.27152222,2.751111111,1.775555556,0.96,0.4818275,1.16243,6
1890,146,16.298992,14.6,4.8,31.20491705,11.46526,2.829,1.714,0.974,0.485951,2.19978,6
1891,50,3.555328,10,4.8,21.654418,10.75912,2.572,1.82,0.9368,0.492719,0.85549,2
1892,100,8.3394915,10,4.8,20.077018,11.33044,2.904,1.747,0.908,0.489272,0.78937,2.8
1893,144,8.505992,14.6,4,33.739258,10.52605,2.495,1.785,0.965,0.47754,0.84049,6
1894,100,8.147992,10,4.8,20.077018,11.33044,2.706,1.678,0.892,0.498454,1.22915,6
1895,208,14.091992,24.64705882,3.764705882,52.26033692,12.232,2.751764706,1.513529412,0.645882353,0.638067059,6.44467,2.8
1896,100,5.62148,10,4.8,20.99412653,12.59399,2.828,1.747,0.964,0.475954,0.80362,2.5
1897,126,13.747992,12.5,4.8,26.2038268,11.02384,2.644,1.794,0.96,0.499514,0.77755,6
1898,114,8.558488,9.8,4.6,19.8565257,11.17714,2.774,1.714,0.774,0.499514,0.74876,10
1899,50,4.073996,10,4.8,20.077018,11.33044,2.706,1.678,0.892,0.498454,0.89374,5.5
1900,88,11.624328,44,4,108.295515,12.0278,2.67,1.875,0.98,0.44942,1.79459,2.5
1901,36,17.59,18,4,37.27215,11.02384,2.225,1.745,0.86,0.44942,2.53985,4.3
1902,80,7.73466,10,5,20.25527838,11.026725,2.79,1.6725,0.8525,0.495275,1.10402,6.3
1903,110,3.18390975,5,3,9.559684639,13.16182917,2.595,1.336666667,0.528333333,0.765009583,0.42861,2
1904,220,41.181992,30.66666667,4.666666667,68.56273,11.26011667,2.831666667,1.733333333,0.915555556,0.461318333,6.77567,5.5
1905,108,8.907327,10.8,4.8,21.654418,10.59066,2.675,1.736,0.926,0.498984,0.86724,6
1906,74,19.334,24.66666667,4.333333333,53.05033333,9.3432,2.146666667,1.84,1.15,0.470563333,3.52219,3.3
1907,75,15.55,15.2,4.8,31.937418,10.0743,2.295,1.875,1.5,0.482036,2.22761,4.5
1908,144,60.674,30.5,3.1,66.8074975,8.79744,2.19,1.9072,1.2145,0.4618992,6.31755,3
1909,72,5.439908,9,5,18.48597796,11.719925,2.815,1.62625,0.84875,0.4840125,0.67383,5.8
1910,92,6.883996,9,4.8,18.60817185,11.82415,2.766,1.62,0.86,0.49607,0.69519,6.5
1911,232,37.007299,12,4,24.085483,12.22274,2.68,1.592,0.75,0.5368794,1.0627,2.3
1912,236,32.400563,35.33333333,5,81.44716667,11.26011667,2.876666667,1.7,0.945,0.47382125,5.118,2.8
1913,63,13.89,12.6,4.8,25.023328,10.13144,2.352,1.9072,0.828,0.482265,1.56776,6
1914,64,10.507072,24,4,53.4902975,10.0743,2.115,1.91,1.184,0.47888,3.492,3.8
1915,110,23,35,4.666666667,82.59846667,8.504133333,2.938333333,1.913333333,1.213333333,0.462183333,7.66,2.3
1916,126,13.551332,15.5,4.25,31.937418,11.79886,2.745,1.825,0.84875,0.4931925,1.8288,6
1917,30,2.332664,10,5.333333333,20.32523675,11.28095,2.926666667,1.68,0.806666667,0.49954,0.6415,6.5
1918,100,8.147992,10,4.6,20.21334878,10.9485,2.648,1.736,0.912,0.498666,0.96683,6
1919,124,13.551332,20.66666667,4.333333333,46.52035333,11.53381667,2.736666667,1.746666667,0.985,0.474714,2.9768,6
1920,46,9.143996,11,4,22.9889468,11.90972,2.884,1.662,0.792,0.490932,0.85728,7.5
1921,46,7.767992,12,4,26.385218,11.2603,2.81,1.7,0.86,0.49282,1.54573,6
1922,100,5.625328,10,4.8,20.3920334,12.04083,2.934,1.626,0.91,0.49607,0.77525,6
1923,74,14.22,14.33333333,5.333333333,30.61252,9.081566667,2.926666667,1.99,1.253333333,0.476273333,1.69886,4
1924,66,6.697992,13.6,4,27.188418,11.14446,2.77,1.732,0.9,0.482036,1.46035,5
1925,208,15.7871515,7.75,3.555555556,15.69310028,11.73429444,2.6703,1.544444444,0.530833333,0.633069444,0.4325,2.8
1926,118,11.206324,9.59,4.8,20.93888802,11.0975047,2.73065,1.740925,0.887445,0.4957955,0.8229,6
1927,64,10.7072,32,4,71.6571,10.0743,2.295,1.905,1.12,0.462985,5.2757,3.8
1928,78,5.896328,10.54761905,4.571428571,21.39612502,10.96035714,2.71,1.745714286,0.904285714,0.498002857,0.68988,5.5
1929,87,20.834,23.5,3.75,49.496,9.0872,2.2225,1.9,1.135,0.479965,5.2757,3.8
1930,114,4.542664,12.66666667,4.666666667,26.62168667,11.35476667,2.806666667,1.716666667,0.92,0.48449,1.51422,6
1931,144,21.124328,27.5,5.166666667,64.17666667,11.756,2.831666667,1.735,0.901666667,0.478023333,1.42262,5.5
1932,202,22.81264,20.5,4,46.9564675,12.0863,2.845,1.716666667,0.945,0.475954,2.40189,2.5
1933,196,24.409986,24.5,5.5,53.4902975,11.1479375,2.9225,1.725,0.955,0.468765,3.47589,2.5
1934,220,41.181992,24.44444444,4.666666667,57.08166,11.63446667,2.83,1.733333333,0.915555556,0.474726667,4.44055,6.3
1935,268,23.576975,29.6,5.6,68.16233625,9.370384,2.368,1.904,1.184,0.4618992,3.11002,1.8
1936,60,4.904328,10,5.333333333,20.32523675,11.82415,2.75,1.62,0.815,0.482036,0.5043,6
1937,120,8.505992,12,4.6,24.033618,10.59066,2.586,1.742,0.98,0.49897,1.775,6
1938,86,8.42666,14.4,4.8,29.525338,10.78917,2.752,1.754,0.946,0.489486,1.7362,6
1939,92,8.505992,9,4.8,18.439538,11.90626,2.805,1.656,0.896,0.5743408,0.65552,6
1940,100,13.385996,49,4.6,126.386335,8.79744,2.706,1.905,1.12,0.460005,7.7439,2
1941,42,7.4428315,10.4,4.8,20.29889263,12.04083,2.755,1.662,0.786,0.4946015,0.8488,2.8
1942,100,8.147992,10,4.8,20.93888802,10.78917,2.828,1.662,0.9004,0.490174,0.7958,5.5
1943,100,7.558488,9.2,4.44,18.439538,12.04083,2.752,1.648,0.642,0.491714,0.84019,2.5
1944,86,8.862328,11.33333333,4.666666667,24.808518,11.75441667,2.848333333,1.716666667,0.915,0.48752,1.99192,5.5
1945,96,13.277328,13.71428571,4.571428571,28.85088686,11.82448,2.68,1.754285714,0.897142857,0.489954286,1.27478,6.5
1946,86,11.202328,13.33333333,5.166666667,29.97368417,11.13986667,2.768333333,1.716666667,0.953333333,0.489506667,1.9368,5.8
1947,127,30.92,24.5,5.5,53.4902975,10.0743,2.295,1.825,1.12,0.469715,4.7232,1.8
1948,96,8.42666,12,4,24.808518,11.35495,2.675,1.725,0.905,0.49512,1.8688,7.5
1949,0,0,0,0,0,0,0,0,0,0,0.8812,4.5
1950,220,24.150564,21,4.75,49.22444938,11.06572,2.845,1.656,0.895,0.467935,3.72067,3.8
1951,188,30.655328,31.33333333,5,75.83935333,11.77173333,2.876666667,1.943333333,0.923333333,0.466388333,5.07766,3.5
1952,108,11.202328,30.66666667,4.666666667,73.79314375,11.26011667,2.743333333,1.746666667,0.973333333,0.469576667,2.53683,4.8
1953,36,7.767992,18,4,37.346215,11.33044,2.66,1.7,0.945,0.476095,2.37558,6
1954,156,21.575328,14.33333333,5.166666667,30.64595367,11.49691667,2.826666667,1.726666667,0.893333333,0.486506667,1.47355,5.5
1955,108,9.93196,10.8,4.4,23.231818,10.59988,2.706,1.678,0.964,0.4966919,1.2398,5.5
1956,38,4.542664,18.66666667,5,41.99652,11.35476667,2.826666667,1.716666667,0.95,0.486506667,1.99192,5.5
1957,46,9.577996,11.2,4,23.170338,12.0034,2.94,1.66,0.782,0.476095,0.98478,2.3
1958,100,8.147992,10,4.8,20.077018,11.33044,2.706,1.678,0.9,0.498454,0.8117,6
1959,79,15.55,39.5,5,95.225235,9.8771,2.115,1.91,1.12,0.462985,6.523,2.5
1960,112,13.9558185,18,4,40.4786745,12.01102778,2.938333333,1.77,0.944,0.474324,2.9768,2.8
1961,117,4.545328,9.5,5.166666667,19.24039571,11.79596667,2.96,1.703333333,0.813333333,0.488163333,0.53898,5
1962,128,8.147992,8.8,4,16.862138,11.79886,2.805,1.656,0.848,0.49901,0.69207,3.8
1963,62,7.134332,5.75,3.75,11.72929078,12.0278,2.7275,1.545,0.71,0.61443,0.65297,5
1964,58,9.239992,11.6,4.8,24.033618,11.06572,2.675,1.767,0.91,0.498666,1.4092,6
1965,55,9.683996,22.5,5,47.69701,11.1479375,2.53,1.7,0.945,0.475954,3.78533,3.8
1966,92,10.065992,9.8,4.8,19.8565257,10.75912,2.675,1.736,0.925,0.49512,0.9328,2.5
1967,45,10.507072,19,4.5,39.568056,10.5174,2.545,1.88,1.11,0.492719,1.92725,5.5
1968,20,0.864995,10,4,20.99408622,10.0743,2.455,1.87,1.1,0.476095,0.53649,2.3
1969,126,13.9558185,22.4,5.2,53.441338,12.046624,2.837,1.725,0.938,0.47907,2.37558,2.5
1970,236.18,29.6024645,23.5,2.6875,54.27403448,12.07244118,3.426380567,1.527058824,0.695238095,0.477068089,5.25354,2.5
1971,72,13.477328,12,3.666666667,24.65418667,12.41584,2.773333333,1.43,0.620833333,0.61443,1.47355,4
1972,86,6.508664,17.33333333,4.666666667,39.98766667,11.55673333,2.976666667,1.756666667,0.896666667,0.485033333,1.79459,6.3
1973,96,15.43,48,4,116.3255,8.12415,2.295,2.045,1.36,0.42668,8.795,2.5
1974,58,6.0715992,8.8,4.8,15.69310028,11.33044,2.675,1.626,0.832,0.492719,0.76176,6
1975,114,8.228992,11.6,4.8,22.52187185,10.75912,2.644,1.788,0.914,0.49607,0.81244,6
1976,235,28.867992,22,4.333333333,50.61352,9.101866667,2.871666667,1.765,1.013333333,0.474655,5.2085,3.8
1977,228,24.409986,27.5,5.5,65.80676875,11.6104,2.84875,1.725,0.94625,0.468765,2.0416,2.5
1978,46,9.133,23,4,48.7195,9.8771,2.115,1.905,1.12,0.47888,2.32089,3.8
1979,113,13.477328,27.5,4.25,64.9132175,11.2520375,2.03,1.955,1.14,0.467935,2.74155,5.3
1980,100,15.593,50,3.2,116.3255,8.31996,2.02,2.064,1.422,0.40338,6.17571,2
1981,235,9.773996,12.5,4.8,26.385218,11.33044,2.708,1.708,0.848,0.49282,1.39322,6
1982,114,9.509324,11.33333333,3.555555556,23.03343417,11.86273333,2.67,1.703333333,0.811666667,0.480731667,1.00244,5
1983,150,16.489976,15.2,4.4,31.937418,11.33182,2.752,1.728,0.88,0.486236,2.16486,6
1984,64,10.502995,32,4,71.6571,10.2719,2.24,1.99,1.2,0.4628675,2.74155,3.5
1985,127,26.092,31.75,4.25,70.86454625,9.251425,1.985,1.88,1.14,0.449615,6.16352,5.8
1986,100,8.836996,10,4.8,20.833018,11.82448,2.904,1.626,0.928,0.496167,0.71978,2.8
1987,0,0,0,0,0,0,0,1.8,0,0.49897,0,1.5
1988,58,4.542664,9,5.166666667,19.24039571,11.71171667,2.831666667,1.641666667,0.85,0.556837333,0.59255,5.5
1989,144,9.107996,14.6,4.4,33.739258,10.13144,2.572,1.742,0.928,0.474714,0.82082,5.5
1990,80,7.73466,10,5,20.25527838,12.0034,2.79,1.6725,0.8525,0.495275,0.69411,6.3
1991,102,5.2309795,6.666666667,3.916666667,15.5703585,13.51252,2.75375,1.446666667,0.620833333,0.65987,0.52252,4.3
1992,100,7.558488,7.4,4.4,14.69960586,12.0034,2.567142857,1.545,0.642,0.645687143,0.58973,6
1993,64,4.243996,10.8,5,20.0468,11.38168,2.81,1.74,0.86,0.499514,0.73241,5.5
1994,116,1.741332,12.1,4.8,26.385218,11.28095,2.706,1.678,0.892,0.498984,0.79244,6.3
1995,313,28.35939975,14.19047619,4.714285714,32.24720143,11.56352857,2.782380952,1.711904762,0.879047619,0.512238571,1.4486,5.8
1996,64,6.283996,12.8,4.8,26.385218,11.38168,2.81,1.74,0.91,0.49282,1.2645,6
1997,80,5.62148,8,4.333333333,16.33280792,12.8161,2.564,1.625,0.864,0.49954,0.58344,5.5
1998,113,13.385996,27.6,5.28,65.565418,9.370384,2.298,1.9072,1.2,0.4618992,3.958,2.5
1999,90,7.874,9,4.8,19.0468,11.33044,2.706,1.678,0.88,0.498984,0.94589,6
2000,43,7.87674775,10.75,3.75,22.212725,12.18425,2.7275,1.545,0.71,0.61443,1.36305,5
2001,790,105.514,39.5,5.3,93.78445,9.273855,2.279,1.9072,1.2145,0.457149,4.90209,2.8
2002,70,0.73466,10,4.571428571,20.09830286,11.06572,2.738,1.685714286,0.861428571,0.493918571,0.75585,7.8
2003,58,4.545328,11.33333333,4.666666667,23.170338,11.75455,2.788333333,1.723333333,0.896666667,0.49968,0.75755,5.3
2004,33,7.441332,10.3,4.8,20.21334878,10.91369,2.698,1.743,0.956,0.495736,0.74876,6
2005,431,36.408963,10.80487805,4.902439024,20.44848849,10.83385,2.70195122,1.734390244,0.917073171,0.494527073,0.88024,5.5
2006,459,37.007299,6,3.2,11.663548,12.41584,2.518,1.394,0.664,0.695602,0.13389,2.5
2007,176,9.93196,8.8,5.6,18.58636114,12.63188,2.8355,1.652,0.919,0.469015,0.58006,2.8
2008,120,10.803996,10,4.8,20.3920334,10.73364,2.708,1.648,1.12,0.498984,1.4092,3
2009,63,7.442664,12.8,4.8,26.385218,11.38168,2.796,1.728,0.86,0.49282,1.45419,5.5
2010,58,11.874,19.33333333,4.666666667,39.98766667,9.5408,2.33,1.88,1.106666667,0.487833333,1.04374,6.3
2011,30,2.70174775,7.4,4.8,14.99685963,11.9051,2.6495,1.544,0.71,0.6497568,0.78834,5.8
2012,58,7.767992,7.4,4.3,14.9817948,11.79886,2.7425,1.62625,0.768,0.611805,1.04896,3.8
2013,30,2.332664,10,5.333333333,20.02735333,11.79596667,2.926666667,1.713333333,0.806666667,0.499506667,0.83076,6
2014,112,13.477328,11.2,4.8,24.50301875,10.73364,2.766,1.7775,0.958,0.4961945,0.8506,6
2015,56,9.143996,11,4.8,24.5691257,11.82448,2.828,1.662,0.792,0.4957955,1.55883,2.8
2016,116,11.2954955,18,4,37.346215,10.629,2.66,1.765,0.92,0.48855,3.90755,6
2017,184,40.61,23,4,49.22444938,10.5174,2.25375,1.855,1.11,0.4756775,3.01757,3
2018,36,8.903332,18,4,37.27215,9.370384,2.165,1.88,1.15,0.466061,3.20755,6
2019,600,59.27039175,12.8,4.8,26.385218,11.38168,2.81,1.74,0.86,0.49282,1.7909,6
2020,58,13.556992,31.33333333,5.333333333,75.83935333,11.6284,2.826666667,1.726666667,0.923333333,0.462183333,4.52755,6.5
2021,182,20.807992,20.22222222,4.666666667,47.08509778,11.29683333,2.78,1.754444444,0.966666667,0.47855,4.11583,6
2022,50,3.253996,7.4,4.8,15.9537745,12.0034,2.828,1.598,0.836,0.499514,0.69519,3.8
2023,100,7.900992,10,4.8,20.29889263,10.93895,2.703,1.698,0.866,0.498666,0.96683,6.8
2024,100,15.43,50,4,117.386335,8.21315,2.295,1.9,1.36,0.42668,7.66,3.8
2025,60,8.147992,10,4.8,20.3920334,12.0034,2.708,1.648,0.88,0.492736,1.37405,5.5
2026,58,7.441332,12.6,4.8,26.2038268,11.82448,2.67,1.75,0.914,0.486658,1.50857,5.5
2027,116,10.209328,14.33333333,4.666666667,30.55068667,11.35476667,2.806666667,1.716666667,0.92,0.486506667,1.54573,6
2028,192,38.191,49,2,111.34115,7.83425,1.96,2.0975,1.37,0.4315125,7.01317,2.5
2029,446,36.095296,9.911111111,5,20.05298107,11.28145556,2.748444444,1.712888889,0.880888889,0.495447778,0.85728,5.8
2030,144,21.575328,24.66666667,4.666666667,54.50126367,9.159866667,2.743333333,1.76,1.06,0.474726667,3.1504,6.5
2031,100,7.558488,10.8,4.8,20.99408622,11.64556,2.708,1.648,0.88,0.492719,0.84098,6.5
2032,64,13.55,32,4,72.2365,9.1985,2.368,1.9072,1.422,0.448895,3.18933,3
2033,100,15.232328,50,4,121.0227333,8.504133333,2.146666667,2.006666667,1.136666667,0.42632,7.7965,2.3
2034,126,21.830311,30.75,5,71.6571,9.300975,2.2225,1.86625,1.1275,0.4628675,3.47589,3
2035,100,5.62148,10,4.8,20.99412653,10.73364,2.828,1.788,0.964,0.492736,0.82343,5.5
2036,126,11.202328,21,4.666666667,47.98568667,11.9482,2.858333333,1.7,0.883333333,0.477148333,2.45933,5.8
2037,40,7.134332,20,4,40.689515,11.50615,2.545,1.875,0.945,0.47899,2.07755,4
2038,220,29.126328,24.33333333,4.666666667,55.30459633,11.25296667,2.83,1.761666667,0.966666667,0.479506667,3.05125,6
2039,112,8.359328,17.33333333,5,38.97922533,11.62431667,2.938333333,1.721666667,0.918333333,0.487833333,1.47705,2.8
2040,50,4.093996,10,4.8,20.29889263,11.33182,2.755,1.631,0.96,0.492736,0.84313,6.5
2041,128,8.109328,8.4,4.8,16.862138,11.79886,2.805,1.656,0.848,0.4946015,0.51006,5.5
2042,128,13.385996,12,4.8,26.385218,11.02384,2.636,1.78,0.946,0.49282,1.80256,5.8
2043,100,9.577996,10.8,4.8,20.29889263,11.719925,2.796,1.728,0.836,0.4957955,0.56215,6
2044,222,34.058654,15.14285714,4.285714286,33.348,10.554,2.225714286,1.908571429,1.17,0.479965,1.3459,3.8
2045,72,7.4428315,8,4,16.86213725,11.026725,2.6725,1.495,0.966875,0.611805,0.73803,1.5
2046,112,8.42666,15.5,4,31.5746356,11.90972,2.755,1.728,0.945,0.486236,3.11002,5.3
2047,126,13.385996,25.2,5.2,58.303418,11.11696,2.705,1.736,0.944,0.467568,3.3354,2.8
2048,68,3.555328,11.33333333,5.333333333,22.68885333,11.82426667,2.89,1.698333333,0.89,0.49968,0.82343,3.5
2049,74,14.883996,14.8,4.4,31.5746356,11.14446,2.684,1.732,0.9,0.482036,1.2568,6.3
2050,208,15.78748,10.4,4.8,21.06154724,11.43734,2.721,1.742,0.923,0.4946015,0.69411,2.8
2051,126,19.382,26,4.8,61.19102,9.65936,2.115,1.905,1.12,0.47754,3.59589,3.8
2052,107,11.463996,10.6,4.8,21.98931204,11.33044,2.6184,1.592,0.8808,0.534001,0.50181,6
2053,88,15.553374,28.5,4,68.16233625,8.71425,2.545,1.91,1.185,0.457615,3.20755,2.5
2054,100,15.43,50,4,117.386335,8.79744,2.165,2.045,1.165,0.42668,7.7439,2.3
2055,214,26.917984,22.8,5.6,47.31542253,10.13144,2.352,1.82,1.104,0.474714,3.1504,2
2056,100,7.558488,9.2,4.8,18.610803,11.33044,2.684,1.6795,0.836,0.492719,0.73829,5.5
2057,20,0.973995,10,4.8,20.99412653,10.93895,2.675,1.745,0.92,0.489272,0.83154,6.8
2058,582,37.007299,10.7,4.6,21.98931204,11.02384,2.502,1.705,0.951,0.498984,0.86724,6.3
2059,90,3.443996,7.5,4,15.69310028,12.0034,2.6725,1.495,0.71,0.6184925,0.58105,5
2060,196,30.92,24.5,4.5,53.4902975,11.26033125,2.375,1.875,0.945,0.46617125,3.08833,2.5
2061,30,7.4428315,6,3.2,11.663548,12.41584,2.518,1.542,0.703,0.58966,1.02048,2.5
2062,58,4.03,7.5,4,14.99685963,12.04083,2.6725,1.5475,0.62,0.6497568,0.52252,4
2063,108,13.355328,36.66666667,3.666666667,84.1611,8.054,2.24,1.88,1.083333333,0.487833333,1.7,2.5
2064,50,5.203996,10,4.8,20.077018,11.33044,2.706,1.678,0.892,0.498454,0.84098,6
2065,236,34.18948,11.6,3.2,23.0113257,12.41584,2.02,1.394,0.664,0.695602,1.96919,1.8
2066,88,13.5341515,30.75,4,68.16233625,9.300975,1.985,1.765,1.1925,0.4315125,6.46538,3.8
2067,108,11.463996,18,4.8,39.568056,10.60098,2.352,1.8,0.98,0.474714,0.89483,6
2068,100,7.134332,10,4.8,20.077018,11.33044,2.706,1.678,0.892,0.498454,0.73461,6
2069,108,8.147992,10.8,4.8,21.98931204,10.9196,2.805,1.743,0.914,0.492719,0.7901,6.5
2070,30,0.864995,30,4,37.27215,8.21315,1.95,2.04,1.41,0.47888,0.41631,2.5
2071,236,20.834,23.5,4.8,54.27403448,10.78917,2.752,1.7795,0.946,0.489272,2.06989,6.8
2072,228,28.81264,28.8,5.6,67.9394,11.90626,2.858,1.788,0.928,0.467304,2.19978,3.5
2073,108,8.505992,15.5,4,33.739258,10.909175,2.205,1.907,0.945,0.48502,1.00627,5.5
2074,58,11.202328,19.33333333,4.666666667,39.98766667,11.37321667,2.746666667,1.796666667,0.883333333,0.487833333,1.0804,6
2075,110,2.008328,4.666666667,3,8.808713333,13.51252,2.083333333,1.336666667,0.524444444,0.745029167,0.44035,2.3
2076,116,11.202328,19.33333333,5,55.64164,11.63995,2.901666667,1.72,0.92,0.476711667,3.88539,5
2077,110,23.359328,22.8,4.8,47.98568667,11.52228333,2.774,1.746666667,0.944,0.487833333,3.958,3.5
2078,126,13.89,22.8,4.8,50.1811,11.38168,2.81,1.74,0.914,0.47888,4.45167,3.8
2079,84,12.843328,11.85714286,4.571428571,24.69960586,11.12766952,2.225714286,1.726285714,0.914285714,0.490206429,1.0608,7.8
2080,128,9.107996,12.2,4.8,26.2038268,11.64556,2.884,1.742,0.944,0.491604,1.55883,6
2081,58,4.663996,11.12,4.8,23.231818,11.28095,2.545,1.717,0.905,0.492799,0.86102,5.5
2082,46,8.505992,41,4.8,95.225235,10.45948,2.308,2.015,1.11,0.42668,7.775,2.5
2083,58,3.555328,9.9,4.4,19.39735333,10.89726,2.66,1.756666667,0.973333333,0.48948,0.57888,6.5
2084,249.32,23.213328,14.96551724,4.965517241,31.13154748,11.11211427,2.77,1.573103448,0.86,0.494866207,1.42396,7.8
2085,74,14.883996,14.8,4.4,31.5746356,11.14446,2.684,1.732,0.9,0.482036,1.51422,6.3
2086,64,10.502995,32,4,71.6571,9.6769,2.53,1.99,1.22,0.437,5.2515,2.5
2087,208,10.561656,10.61538462,4.307692308,22.28268137,11.06180769,2.742307692,1.773076923,0.910769231,0.494969054,0.92003,3
2088,30,1.449328,4.666666667,4,8.808713333,13.51252,2.518,1.318666667,0.505333333,0.488163333,0.42861,2.5
2089,92,16.864992,9,4.8,18.439538,11.79886,2.805,1.656,0.848,0.499196,0.26619,6
2090,100,8.147992,10,4.8,20.6125257,11.90972,2.884,1.662,0.792,0.490932,0.86102,6
2091,98,13.89,49,5,119.6295,8.88835,2.28,1.97,1.3,0.437,6.945,2.5
2092,28,7.134332,14,4,30.341818,11.50615,2.545,1.765,1.04,0.479405,2.645,4
2093,58,7.558488,11,4.8,22.9889468,11.38168,2.648,1.626,0.86,0.49512,1.17448,6
2094,136,13.044328,15.2,4.666666667,33.46149333,11.29003333,2.946666667,1.716666667,0.925,0.479689167,2.58333,5
2095,192,38.191,36,2,111.34115,8.932975,2.53,2.0975,1.2,0.4315125,1.3459,3.8
2096,176,21.153992,8.88,4.4,20.833018,11.4378314,2.7996,1.6994,0.8808,0.534001,0.8527,5.8
2097,46,8.894328,13.33333333,4,29.97368417,12.25296667,2.53,1.765,0.92,0.487833333,1.61291,4
2098,127,20.855328,31.1,4.8,70.83746667,9.159866667,1.95,1.907,1.233333333,0.446356667,6.44467,2.5
2099,90,11.463996,10,5.6,20.99412653,12.59399,2.828,1.747,0.964,0.475954,2.18789,2.5
2100,156,19.334,23,4.333333333,50.23602,11.75455,2.675,1.736666667,0.968333333,0.478178333,2.94022,3
2101,64,10.65,12,4,24.50301875,10.2719,2.675,1.825,0.945,0.49463625,1.85225,6
2102,92,10.207996,9.2,5.6,19.8565257,9.65936,2.368,1.904,0.936,0.49111,0.84019,4
2103,112,13.355328,19.33333333,4.666666667,39.98766667,9.5408,2.33,1.88,1.106666667,0.487833333,2.96536,6.3
2104,64,10.507072,32,5.6,71.6571,10.59848571,2.684,1.859,1.028,0.467285714,5.25354,2.5
2105,68,17.053984,13.6,4,29.525338,10.73364,2.295,1.736,0.945,0.48273,1.74944,2
2106,66,9.44,20.2,5.6,47.8025,9.8771,2.295,1.74,1.14,0.44942,2.06989,2
2107,42,1.55316,20,4,43.498522,10.39875,2.455,2.015,1.18,0.448895,0.56215,2.3
2108,138,11.463996,9.2,4.8,18.78740068,11.33044,2.706,1.678,0.892,0.498454,1.00627,4.3
2109,78,9.683996,15.6,4.8,34.724218,10.98774,2.828,1.682,0.928,0.477854,2.732,6
